Country,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahrain,Solar,0,0,0,0,0,0,0,0,0,0,0.004,0.009,0.509,0.509,5.009,5.009,6.009,6.009,6.349,9.349,9.756,11.322
Bahrain,Wind,0,0,0,0,0,0,0,0,0.675,0.675,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
Iran IR,Solar,0,0.005,0.005,0.005,0.035,0.035,0.077,0.108,0.11,0.173,0.389,0.448,0.448,0.987,9.378,9.378,43.208,184.478,286.378,345.878,429.768,455.858
Iran IR,Wind,11,11,12,16,24.9,37,47,63,63,92,95,98.21,106.13,107.63,148.78,153.44,190.94,259,282,304.92,308.08,310.2
Iraq,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,36.5,36.5,36.5,36.5,37.076,37.076,37.076,37.076
Iraq,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,Solar,0,0,0,0,0,1,1.3,1.8,9,30.6,76,195.8,278.1,382.9,593.2,771.8,879.7,988.4,1291.3,2055.5,2472,2555
Israel,Wind,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,27.25,27.25,27.25,27.25,27.25,27.25
Jordan,Solar,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.043,0.073,0.141,0.236,5.557,286.593,396.588,699.623,1185.67,1448.375,1520.575
Jordan,Wind,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,118.4,198.4,198.4,280.4,373,518.01,621.51
Kuwait,Solar,0,0,0,0,0,0,0,0,0,0,0,0.007,0.007,0.114,2.049,3.181,30.509,32.009,43.069,93.344,93.344,93.344
Kuwait,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4,2.4,2.4,12.4,12.4,12.4,12.4,12.4
Lebanon,Solar,0,0,0,0,0,0,0,0,0.002,0.002,0.332,0.472,0.294,0.351,2.15,8.787,22.117,34.917,58.38,78.65,78.65,78.66
Lebanon,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,3,3,3,3,3,3,3,3
Oman,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,2.203,2.214,8.211,8.291,8.736,111.586,137.586
Oman,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50
Palestine,Solar,..,..,..,..,..,..,..,..,..,..,..,0.35,0.6,0.6,3,12,25,35,40,81.833,116.833,116.833
Palestine,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,Solar,0,0,0,0,0,0,0,0,0,0,0,0.667,0.667,2.287,3.967,3.967,5.1,5.1,5.1,5.1,5.1,5.1
Qatar,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saudi Arabia,Solar,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,2.35,2.85,13.55,22.45,24.264,24.264,24.264,34.388,84.388,109.388,109.388,439.388
Saudi Arabia,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,2.75,3.25,3.25,3.25
Syrian AR,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,1.377,2.467,2.467,2.467
Syrian AR,Wind,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
United Arab Em,Solar,0,0,0,0,0,0,0,0,0,10.076,10.826,12.751,13.206,125.802,133.171,133.516,140.516,355.146,598.415,1917.98,2305.507,2705.157
United Arab Em,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.7,1.7,0,0,0,0,0,0
Yemen,Solar,0,0,0,0,0,0,0,0,0.946,0.997,1.007,1.286,1.367,2.369,5,60,80,100,250,250,252.8,252.8
Yemen,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
N America,Solar,616,483,483,709,781,915,1137,1487,1675,2218.1,3660.8,6314.4,9451.8,14364,19668,26248,38013.6,47172.74,57220.139,68593.347,84066.739,105878.252
N America,Wind,2486,4012,4596,6340,6918,9401,12853,18456,27088.6,38003.6,43621.6,51542.6,67091.6,69896.6,76495.02,87058.02,97310,104046.372,112207.685,123515.51,138863.143,154732.74
Bermuda,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,Solar,7,9,10,12,14,18,22,29,38,107,249,628,766,1210,1843,2519,2665,2932,3095,3327,3342,3629.6
Canada,Wind,92,131,161,327,444,677,1423,1840,2336,3282,3967,5265,6201,7801,9694,11214,11973,12250,12816,13413,13626.96,14303.56
Greenland,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,0.139,0.139,0.139
Greenland,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05
Mexico,Solar,14,15,16,16,16,16,16,19,19,25.1,29.8,42.4,72.8,109,174,287,632.6,1125.74,2555,4440.208,5163,7040
Mexico,Wind,17,17,18,18,18,18,101,101,101,425,519,601,1815,2122,2569,3271,4051,4199.372,4875.635,6050.26,6504.433,7691.53
St Pierre Mq,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St Pierre Mq,Wind,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0,0,0
USA,Solar,595,459,457,681,751,881,1099,1439,1618,2086,3382,5644,8613,13045,17651,23442,34716,43115,51570,60826,75561.6,95208.513
USA,Wind,2377,3864,4417,5995,6456,8706,11329,16515,24651,34296,39135,45676,59075,59973,64232.02,72573.02,81286,87597,94516,104052.2,118731.7,132737.6
Oceania,Solar,26.159,30.646,35.833,41.477,48.823,55.322,64.681,79.719,92.387,340.416,1102.352,2494.238,3829.277,4608.552,5356.079,6076.613,6856.294,7571.984,8875.311,13286.216,17705.925,19442.353
Oceania,Wind,73.005,116.545,166.745,273.405,567.91,930.91,1016.41,1611.733,1808.968,2249.918,2438.798,2801.073,3235.073,3895.084,4531.184,4922.393,5065.668,5553.393,6184.319,7022.634,9441.634,9922.234
Amer Samoa,Solar,0,0,0,0,0,0,0,0,0,0,0,0,2.416,2.416,2.416,2.416,3.92,4.27,5.16,5.16,5.16,5.16
Amer Samoa,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,Solar,25,29,34,39.4,46.4,52.4,61.4,73,85,332,1091,2473,3799,4568,5287,5946,6689,7354,8625,12969,17344,19076
Australia,Wind,33,76,106,190,379,740,819,1249,1441,1703,1864,2127,2561,3221,3797,4181,4324,4812,5442,6279,8603,8950.6
Christmas Is,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Christmas Is,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cocos Is,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cocos Is,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cook Is,Solar,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.711,1.671,2.897,3.011,3.011,4.733,4.733,4.733,4.733
Cook Is,Wind,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Fiji,Solar,0.074,0.074,0.074,0.114,0.04,0.113,0.141,0.141,0.175,0.198,0.276,0.276,0.918,1.365,1.891,3.322,5.322,7.128,9.465,9.518,9.669,9.702
Fiji,Wind,0.06,0.06,0.06,0.06,0,0,0,10.175,10.175,10.175,10.175,10.175,10.175,10.175,10.175,10.175,10.175,10.175,10.175,10.175,10.175,10.175
Fr Polynesia,Solar,0.548,0.698,0.828,1.022,1.249,1.531,1.775,1.925,2.145,2.373,2.9,11,13.5,16.9,24.6,27.9,31.6,35.2,37.4,41,41,41
Fr Polynesia,Wind,0.12,0.12,0.12,0.12,0.135,0.135,0.135,0.158,0.368,0.368,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.248
Guam,Solar,0,0,0,0,0,0,0,0,0,0.045,0.09,0.135,0.315,0.81,1.44,31.95,34.65,34.65,34.78,34.78,34.78,34.78
Guam,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.275,0.275,0.275,0.275,0.275
Kiribati,Solar,0.062,0.062,0.062,0.062,0.203,0.239,0.249,0.262,0.271,0.266,0.392,0.426,0.466,0.502,0.753,2.309,2.862,2.862,2.862,2.862,2.862,2.862
Kiribati,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Marshall Is,Solar,0.04,0.04,0.04,0.04,0.07,0.07,0.07,0.07,0.15,0.27,0.32,0.32,0.48,0.66,1.009,1.009,1.609,1.609,1.625,1.625,1.625,1.625
Marshall Is,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001
Micronesia,Solar,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.18,0.235,0.528,0.528,0.528,0.528,0.684,0.684,0.684,1.284,1.284,1.891,1.891,1.891,1.891
Micronesia,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,0.825,0.825,0.825
Nauru,Solar,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.21,0.21,0.21,0.71,0.711,0.823,2.106,2.106,2.106
Nauru,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Caledon,Solar,0.19,0.21,0.24,0.25,0.25,0.316,0.326,0.521,0.521,0.556,2.656,3.188,3.188,3.188,3.436,6.765,8.821,26.202,28.597,61.785,80.054,80.149
New Caledon,Wind,3.825,4.365,6.565,11.185,22.735,22.735,28.235,32.36,32.36,37.31,37.31,37.585,37.585,37.585,37.585,37.585,37.585,37.585,37.585,37.585,37.585,37.585
New Zealand,Solar,0,0,0,0,0,0,0,3,3,3,3,3,4,8,22,37,53,70,90,116,142.152,146.452
New Zealand,Wind,36,36,54,72,166,168,169,320,322,496,524,623,623,623,682,689,689,689,689,689,784,917
Niue,Solar,0,0,0,0,0,0,0,0,0,0.055,0.055,0.055,0.055,0.055,0.341,0.341,0.341,0.341,0.341,0.941,0.941,0.941
Niue,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norfolk Is,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norfolk Is,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nth Mariana Is,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nth Mariana Is,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Palau,Solar,0.004,0.004,0.004,0.004,0.004,0.032,0.032,0.032,0.282,0.282,0.292,0.577,0.667,0.745,0.91,0.91,1.28,1.28,1.68,1.745,1.745,1.745
Palau,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Papua N Guin,Solar,0,0.317,0.317,0.317,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.878,1.229,1.195,1.258,2.996,2.996,2.996
Papua N Guin,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pitcairn,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pitcairn,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Samoa,Solar,0,0,0,0,0,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.164,3.094,4.784,7.234,13.549,13.549,13.707,13.707,13.707
Samoa,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Solomon Is,Solar,0,0,0,0,0,0,0,0,0,0.003,0.003,0.803,0.803,0.803,1.129,1.129,2.16,2.535,2.535,2.535,2.535,2.535
Solomon Is,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tokelau,Solar,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.951,0.951,0.951,0.951,1.041,1.041,1.041,1.041,1.041,1.041
Tokelau,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.015,0.015
Tonga,Solar,0.057,0.057,0.084,0.084,0.084,0.084,0.111,0.111,0.111,0.12,0.12,0.12,1.131,1.654,1.654,2.66,3.247,6.237,6.257,6.257,6.257,6.257
Tonga,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.011,0.22,0.22,0.22,0.22,1.52,1.52,1.52
Tuvalu,Solar,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.026,0.209,0.209,0.212,0.212,0.212,0.278,2.064,2.222,2.227,2.238,2.238,2.312,2.312
Tuvalu,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Vanuatu,Solar,0,0,0,0,0,0,0,0,0,0.04,0.04,0.127,0.167,0.183,0.273,0.434,1.751,2.652,4.076,4.296,4.359,4.359
Vanuatu,Wind,0,0,0,0,0,0,0,0,3.025,3.025,3.025,3.025,3.025,3.025,3.575,3.575,3.575,3.3,3.4,3.4,3.4,3.4
Wallis Fut Is,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Wallis Fut Is,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
S America,Solar,1.909,3.407,4.654,6.121,7.076,7.828,9.028,10.39,13.17,17.415,43.116,69.163,163.865,197.182,464.459,862.493,1510.647,3671.884,5511.764,8540.735,12753.456,19649.087
S America,Wind,37.238,51.955,50.924,52.855,74.955,69.955,286.375,317.765,483.295,846.295,1182.385,1737.14,2339.54,2864.172,6579.584,9943.191,12947.259,15726.876,19140.598,20694.174,24034.326,29754.302
Argentina,Solar,0.025,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,1.252,6.252,8.257,8.252,8.618,8.806,8.806,191.236,442.111,764.135,1071.366
Argentina,Wind,14.112,24.829,25.798,25.729,27.829,27.829,27.829,27.829,27.829,27.829,27.829,59.579,136.979,189.979,215.187,187.104,187.442,226.742,750.342,1609.359,2623.904,3292.124
Bolivia,Solar,0.295,0.394,0.476,0.656,0.783,0.808,1.068,1.435,2.391,2.813,2.979,3.432,4.131,5.535,5.535,5.535,5.535,7.535,69.92,120.32,120.32,170.33
Bolivia,Wind,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3.16,3.16,27,27,27,27,27,127.8
Brazil,Solar,0,0.036,0.036,0.716,0.718,0.718,0.718,0.718,0.764,0.814,0.854,6.097,6.608,12.528,20.697,45.567,127.789,1206.787,2435.022,4613.191,7879.157,13054.926
Brazil,Wind,22,24,22,24,24,29,237,247,398,602,927,1426,1894,2202.02,4888.053,7633.115,10129.155,12304.272,14843.094,15438.379,17198.324,21161.27
Chile,Solar,0,0,0,0,0,0,0,0,0,0,0,0,2,15,221,576,1125,1809,2137,2653.698,3205.438,4468.277
Chile,Wind,0,2,2,2,2,2,2,20,20,163,163,184,202,301,736,910,1039,1305,1524,1620.074,2148.996,3137.006
Colombia,Solar,0.6,0.989,1.029,1.069,1.092,1.121,1.164,1.184,1.231,1.255,1.274,1.308,1.322,1.383,1.418,1.463,1.52,11.32,13.377,25.923,85.513,184.022
Colombia,Wind,0,0,0,0,20,10,18.42,18.42,18.42,18.42,18.42,18.42,18.42,18.42,18.42,18.42,18.42,18.42,18.42,18.42,18.42,18.42
Ecuador,Solar,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.08,3.9,26.4,25.53,25.59,25.59,26.749,27.63,27.629,27.652
Ecuador,Wind,0,0,0,0,0,0,0,2.4,2.4,2.4,2.4,2.4,2.4,18.9,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15
Falklands Malv,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Falklands Malv,Wind,0.26,0.26,0.26,0.26,0.26,0.26,0.26,1.25,1.33,1.33,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32
Fr Guiana,Solar,0.1,0.1,0.1,0.1,0.1,0.161,0.161,0.161,0.574,2.53,23.181,35.889,36.349,36.605,36.709,46.505,46.505,46.559,46.668,46.703,54.941,54.941
Fr Guiana,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guyana,Solar,0.011,0.011,0.011,0.017,0.017,0.018,0.026,0.026,0.068,0.089,0.173,0.931,0.983,1.04,1.085,1.521,1.96,3.457,6.314,8.355,8.355,8.355
Guyana,Wind,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Paraguay,Solar,0,0,0,0,0,0,0,0,0,0.001,0.001,0.005,0.005,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057
Paraguay,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Georgia,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Georgia,Wind,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
Peru,Solar,0.878,1.851,2.976,3.537,4.34,4.956,5.845,6.82,8.022,9.757,12.511,17.539,102.566,108.525,130.484,134.914,146.147,297.863,324.159,334.771,334.771,336.021
Peru,Wind,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,142.7,239.8,239.95,239.95,372.25,372.25,408.99,408.99
Suriname,Solar,0,0,0,0,0,0,0,0,0,0,0.154,0.281,0.661,0.943,6.195,6.245,6.71,7.682,8.776,8.776,9.432,9.432
Suriname,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uruguay,Solar,0,0,0,0,0,0,0,0,0.074,0.11,0.143,0.389,0.608,1.109,3.227,5.968,10.458,242.658,248.416,253.81,258.318,258.318
Uruguay,Wind,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,14.6,30.6,40.6,43.605,52.605,59.417,481.268,856.756,1211.456,1510.656,1510.656,1513.856,1513.856,1513.856
Venezuela,Solar,0,0,0,0,0,0,0,0,0,0,1.8,2,2.3,2.3,3.4,4.5,4.5,4.5,4,5.32,5.32,5.32
Venezuela,Wind,0,0,0,0,0,0,0,0,0,0,0,0,30,71.28,71.28,71.28,71.28,71.28,71.28,71.28,71.28,71.28
