Country,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Sierra Leone,Solar,0,0,0,0,0.003,0.004,0.004,0.032,0.044,0.067,0.094,0.161,0.237,0.384,0.395,0.42,0.484,3.83,4.362,4.372,4.372,4.412
Sierra Leone,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Somalia,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.17,4.67,6.894,7.068,7.068,15.538,23.538
Somalia,Wind,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2.2,2.2,2.8,2.8,3.55,3.55,3.55,3.55,3.55
South Africa,Solar,0,0,0,0,0,0,0,0,0,0,1.959,5.658,11.303,261.625,1162.901,1351.656,2174.026,3446.73,4800.929,4904.991,5989.578,6221.095
South Africa,Wind,0,0,3.16,3.16,3.16,3.16,3.16,3.16,8.36,8.36,10.16,10.16,10.16,257,569,1079,1473,2094,2094,2094,2516,2955.5
South Sudan,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0.16,0.428,0.449,0.737,0.835,0.835,1.278
South Sudan,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sudan,Solar,0,0,0.009,0.009,0.105,0.203,0.212,0.403,0.522,0.882,2.27,3.506,8.066,14.666,16.584,19.911,26.219,35.8,59.488,80.489,117.13,135.86
Sudan,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tanzania,Solar,0,0,0,0,0,0,0,0,0,0,0.031,0.303,1.164,3.674,11.188,12.795,18.524,22.072,26.471,23.644,23.644,23.644
Tanzania,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.4,2.4
Togo,Solar,0,0,0,0,0,0,0,0,0.041,0.045,0.124,0.258,0.353,0.433,0.822,1.704,2.145,2.541,3.504,5.474,6.202,56.241
Togo,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tunisia,Solar,0.837,0.971,1.084,1.144,1.184,1.194,1.206,1.216,1.316,1.396,1.813,2.896,5.571,9.537,17.074,27.547,38.06,47.076,63.749,80.049,94.89,94.89
Tunisia,Wind,10.65,10.65,10.65,19.37,19.37,19.37,19.37,19.37,19.37,53.69,53.69,53.69,173,200,233,240,240,240,245,245,245,245
Uganda,Solar,0.2,0.8,1.1,1.7,2.3,3,5.4,7.7,11.7,14.18,14.91,16.24,17.32,18.5,20,22,24,43.6,66.83,76.96,87.292,91.727
