Country,Technology,Grid connection,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bahrain,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Bahrain,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.78,6.328,19.69,29.623,62.141,101.728
Bangladesh,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,Onshore wind energy,On-grid,..,..,..,..,..,..,1.577,1.577,1.577,1.577,1.577,1.577,1.577,1.577,1.577,1.577,1.577,1.577,1.577,1.577
Bangladesh,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,Solar photovoltaic,On-grid,..,0.155,0.155,0.155,0.155,0.311,0.311,0.932,0.932,1.243,1.554,2.642,3.419,4.351,10.101,13.986,22.533,31.857,33.411,44.289
Barbados,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.056,0.056,0.056,0.056
Barbados,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.845,7.466,28.091,89,177,181
Belarus,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,Onshore wind energy,On-grid,1,1,1.292,1.373,1.34,1.2,1.186,1.33,1.324,1.046,1.066,1.266,6.234,7.888,11.09,26.392,74.775,97,99.311,177.81
Belarus,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Solar photovoltaic,On-grid,..,..,..,..,0.658,1.34,1.623,6.058,41.388,166.008,560,1169,2148,2644,2886.2,3056.3,3095.2,3307.6,3902.9,4247
Belgium,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,Onshore wind energy,On-grid,16,37,57,88,141.454,227,366.259,491.098,637.012,914,1102,1603,1897,2125,2399,2961,3046,3868.7,4153.7,5080.6
Belgium,Offshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,82,190,709,854,1540,2216.3,2613,2391.7,2645,3311,4645
Belize,Solar photovoltaic,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6,0.6,0.6,0.6,1.025,8.884
Belize,Solar thermal energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,Onshore wind energy,On-grid,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
