,Country,2012_x,2012_y,2012
440,Myanmar,..,1134.302224,51413703
444,Namibia,0.692,5942.29274,2194777
445,Namibia,..,5942.29274,2194777
446,Namibia,0.572,5942.29274,2194777
448,Nauru,0.09,9562.667866,10136
449,Nauru,..,9562.667866,10136
452,Nepal,0.972,804.1416073,26989160
453,Nepal,..,804.1416073,26989160
456,Netherlands,190.644,50070.1416,16754962
457,Netherlands,..,50070.1416,16754962
458,Netherlands,4192.829,50070.1416,16754962
459,Netherlands,789,50070.1416,16754962
460,New Caledonia,4.019,37294.02281,259000
461,New Caledonia,..,37294.02281,259000
462,New Caledonia,57.071,37294.02281,259000
464,New Zealand,5,39973.38076,4408100
465,New Zealand,..,39973.38076,4408100
466,New Zealand,2079,39973.38076,4408100
468,Nicaragua,..,1760.460308,5982530
470,Nicaragua,329.55,1760.460308,5982530
472,Niger,..,529.7444581,17795209
476,Nigeria,..,2723.822191,167228803
480,Norway,8.9,101524.1419,5018573
481,Norway,..,101524.1419,5018573
482,Norway,1543,101524.1419,5018573
483,Norway,5,101524.1419,5018573
484,Oman,..,24988.01259,3498031
488,Pakistan,65.664,1198.117637,187280125
489,Pakistan,..,1198.117637,187280125
490,Pakistan,6,1198.117637,187280125
492,Palau,0.894,12044.10547,17635
493,Palau,..,12044.10547,17635
496,Panama,..,10722.26147,3770635
500,Papua New Guinea,..,2790.676303,7631003
504,Paraguay,..,5185.141549,6421510
508,Peru,59.7,6528.971775,29506790
509,Peru,..,6528.971775,29506790
512,Philippines,1.32,2694.305109,97212639
513,Philippines,..,2694.305109,97212639
514,Philippines,75.339,2694.305109,97212639
516,Poland,1.141,13097.27085,38063164
517,Poland,..,13097.27085,38063164
518,Poland,4746.59,13097.27085,38063164
520,Portugal,389.525,20563.7136,10514844
521,Portugal,..,20563.7136,10514844
522,Portugal,10256.449,20563.7136,10514844
523,Portugal,3.329,20563.7136,10514844
524,Puerto Rico,17.7,27944.73389,3634488
525,Puerto Rico,..,27944.73389,3634488
526,Puerto Rico,15.2,27944.73389,3634488
528,Qatar,1.094,85075.98654,2196078
529,Qatar,..,85075.98654,2196078
532,Romania,7.998,8507.104775,20058035
533,Romania,..,8507.104775,20058035
