Country,Technology,Grid connection,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bangladesh,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barbados,Solar photovoltaic,On-grid,0.00,0.16,0.16,0.16,0.16,0.31,0.31,0.93,0.93,1.24,1.55,2.64,3.42,4.35,10.10,13.99,22.53,31.86,33.41,44.29
Barbados,Solar thermal energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Barbados,Onshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.06
Barbados,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belarus,Solar photovoltaic,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,7.47,28.09,89.00,177.00,181.00
Belarus,Solar thermal energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belarus,Onshore wind energy,On-grid,1.00,1.00,1.29,1.37,1.34,1.20,1.19,1.33,1.32,1.05,1.07,1.27,6.23,7.89,11.09,26.39,74.78,97.00,99.31,177.81
Belarus,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belgium,Solar photovoltaic,On-grid,0.00,0.00,0.00,0.00,0.66,1.34,1.62,6.06,41.39,166.01,560.00,1169.00,2148.00,2644.00,2886.20,3056.30,3095.20,3307.60,3902.90,4247.00
Belgium,Solar thermal energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belgium,Onshore wind energy,On-grid,16.00,37.00,57.00,88.00,141.45,227.00,366.26,491.10,637.01,914.00,1102.00,1603.00,1897.00,2125.00,2399.00,2961.00,3046.00,3868.70,4153.70,5080.60
Belgium,Offshore wind energy,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.00,190.00,709.00,854.00,1540.00,2216.30,2613.00,2391.70,2645.00,3311.00,4645.00
Belize,Solar photovoltaic,On-grid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.60,0.60,1.03,8.88
