,population,GDP_Per_Capita,Solar_Generation_Cost_USD_MW,Mid_Bat_Cost_USD_MW
396,327386,54576.74481,293.3,580
397,1295600768,1573.885642,293.3,580
398,255128076,3491.637491,293.3,580
399,34411949,6637.684375,293.3,580
400,4657740,55599.8508,293.3,580
401,8215700,37847.64994,293.3,580
402,60789140,35565.72138,293.3,580
403,2875137,4834.284009,293.3,580
404,127276000,38475.39525,293.3,580
405,8918822,4131.44735,293.3,580
406,17288285,12807.26069,293.3,580
407,46700063,1462.220052,293.3,580
408,109387,1642.820129,293.3,580
409,3690939,44062.34091,293.3,580
410,6639763,1999.958203,293.3,580
411,1993782,15742.39134,293.3,580
412,6261046,7687.759336,293.3,580
413,2043448,1194.575627,293.3,580
414,4359508,739.911935,293.3,580
415,6362039,6466.908237,293.3,580
417,2932367,16551.0182,293.3,580
418,556319,123678.7021,293.3,580
419,23589897,530.8610389,293.3,580
420,16289550,371.2695217,293.3,580
421,29866606,11319.06194,293.3,580
422,435018,8499.307148,293.3,580
423,16934213,848.279043,293.3,580
424,434558,26754.26845,293.3,580
425,3930894,1677.109019,293.3,580
426,1260934,10153.93822,293.3,580
427,120355137,10928.91601,293.3,580
429,2940111,4158.521471,293.3,580
430,621810,7378.345289,293.3,580
431,34192358,3171.699192,293.3,580
432,26286192,673.969212,293.3,580
433,52280816,1210.097636,293.3,580
434,2273426,5469.9014,293.3,580
435,10289,10171.48073,293.3,580
436,26905982,844.8531248,293.3,580
437,16865008,52900.53742,293.3,580
438,4516500,44572.89875,293.3,580
439,6142734,1934.062922,293.3,580
440,19240182,564.5967488,293.3,580
441,176404931,3098.985791,293.3,580
442,2067471,5495.735049,293.3,580
443,5137232,97019.18275,293.3,580
444,4027255,23017.93398,293.3,580
445,195305012,1251.175719,293.3,580
446,17625,13711.7617,293.3,580
447,3901311,12796.07403,293.3,580
448,6599524,6118.31811,293.3,580
449,30090372,6672.877373,293.3,580
450,100513137,2959.645435,293.3,580
451,38011735,14271.30585,293.3,580
452,10401062,22103.70097,293.3,580
453,3534874,28981.45733,293.3,580
454,2459202,83858.34046,293.3,580
455,19908979,10043.67745,293.3,580
456,11083629,743.559038,293.3,580
457,192220,3937.186246,293.3,580
459,30916603,24464.21256,293.3,580
460,14174740,1396.657339,293.3,580
461,7130576,6600.056809,293.3,580
462,91359,14700.33434,293.3,580
463,7017153,714.6997957,293.3,580
464,5469724,57562.53079,293.3,580
465,2061980,24247.17332,293.3,580
466,13423571,374.1147807,293.3,580
467,54544184,6988.808739,293.3,580
468,10554882,1322.820364,293.3,580
469,46480882,29500.78943,293.3,580
470,20778000,3819.25353,293.3,580
471,37977657,1303.838955,293.3,580
472,553278,9471.922001,293.3,580
473,9696110,60020.36046,293.3,580
474,8188649,89684.70758,293.3,580
476,49960563,1030.077648,293.3,580
477,68438748,5951.883487,293.3,580
478,7137997,640.9342196,293.3,580
479,101023,4354.24436,293.3,580
480,11063195,4544.016632,293.3,580
481,77229262,12157.99043,293.3,580
483,10973,3398.39675,293.3,580
484,36911530,883.5287445,293.3,580
485,45272155,3104.643206,293.3,580
486,3400439,16831.94819,293.3,580
487,30757700,2628.460008,293.3,580
488,263888,2926.67996,293.3,580
489,15399793,1762.427817,293.3,580
490,13586710,1434.896277,293.3,580
491,7261846543,10958.0291,293.3,580
492,34413603,556.0072209,272.167,550
493,2880703,3952.802538,272.167,550
494,39728020,4177.889542,272.167,550
495,77993,35770.7767,272.167,550
496,27884380,4166.979833,272.167,550
497,43131966,13789.06042,272.167,550
498,2925559,3607.289299,272.167,550
499,104339,28396.90842,272.167,550
500,23815995,56707.02208,272.167,550
501,8642699,44195.81759,272.167,550
502,9649341,5500.310382,272.167,550
503,1371853,22634.08565,272.167,550
504,156256287,1248.45331,272.167,550
505,285327,16524.8995,272.167,550
506,9461076,5967.052204,272.167,550
507,11274196,41008.29672,272.167,550
508,360926,4770.232656,272.167,550
509,10575962,1076.796698,272.167,550
511,727885,2752.630172,272.167,550
512,10869732,3035.971655,272.167,550
513,2120716,6402.910183,272.167,550
