,Installed_Solar_Capacity
805,2451.1
806,2.145
807,3.247
808,38.06
809,834.0
811,2.222
812,24.0
813,954.7
814,10.458
815,2.33
816,1.751
817,0.094
818,5.109
819,300198.964
820,22.023
821,1.0
822,425.0
823,0.489
824,13.377
825,8.806
826,2.4
827,6.1
828,7354.0
829,1268.971
830,28.4
831,6.009
832,184.936
833,21.0
834,80.0
835,3620.6
836,3.87
837,2.9
839,0.275
840,7.535
841,3.401
842,1206.787
843,1035.57
844,46.8
845,5.103
846,6.235
847,29.378
848,11.596
849,2932.0
850,0.173
851,1809.0
852,130832.29
853,11.32
855,27.968
856,60.0
857,65.467
858,11.1
859,110.046
860,906.35
861,0.362
862,0.63
863,25.59
864,120.523
866,15.0
867,0.93
868,12.494
869,0.0
870,7.128
871,82.0
872,8610.437
873,1.4
874,0.25
875,42293.0
876,47.143
878,2605.53
879,0.0
880,2.283
881,34.65
882,99.308
883,13.319
884,3.457
885,2.535
886,453.786
887,344.0
888,4.333
889,18251.756
890,97.503
891,36.5
892,16.813
893,988.4
894,19688.363
895,55.513
896,49500.0
897,396.588
898,175.456
899,38.479
900,2.862
901,32.009
902,8.117
903,0.69
904,34.917
905,0.363
906,2.406
907,5.11
909,77.669
910,128.103
911,13.0
912,19.167
913,393.808
914,10.791
915,19.252
916,111.763
917,34.766
918,28.84
919,1125.74
921,47.718
922,3.389
923,203.895
924,15.0
925,43.781
926,74.765
927,0.711
928,54.303
929,2911.0
930,70.0
931,13.96
932,9.041
933,18.92
934,16.699
935,44.9
936,8.211
937,654.699
938,1.28
939,146.711
940,0.057
941,297.863
942,908.376
943,287.091
944,579.236
945,301.563
946,5.1
947,1374.199
948,27.5
949,13.549
951,34.388
952,107.0
953,18.388
954,2.644
955,3.83
956,115.945
957,246.8
958,6.894
959,3446.73
961,7027.063
962,130.822
963,35.8
964,7.682
965,244.0
966,1906.0
968,22.072
969,2702.26
970,2.541
971,6.237
972,47.076
973,3421.7
975,2.227
976,43.6
977,1200.0
978,242.658
979,3.2
980,2.652
981,0.094
982,6.252
983,395275.634
984,21.555
985,1.0
986,448.0
987,1.09
988,13.377
989,191.236
990,17.32
991,6.1
992,8625.0
993,1455.132
994,34.9
995,6.349
996,200.779
997,22.0
998,154.0
999,4000.0
1000,4.153
1001,2.9
1003,0.275
1004,69.92
1005,3.706
1006,2435.022
1007,1032.679
1008,61.8
1009,5.103
1010,7.536
1011,28.783
1012,14.192
1013,3095.0
1014,0.19
1015,2137.0
1016,175261.864
1017,13.377
1019,27.968
1020,67.7
1021,128.085
1022,11.9
1023,118.479
1024,998.0
1025,0.362
1026,0.315
1027,26.749
1028,197.696
1030,31.9
1031,0.93
1032,12.346
1033,0.0
1034,9.465
1035,140.0
1036,9672.296
1037,1.4
1038,0.262
1039,45158.0
1040,78.054
1042,2651.57
1043,0.139
1044,2.655
1045,34.78
1046,100.808
1047,13.363
1048,6.314
1049,2.554
1050,513.686
1051,728.0
1052,5.275
1053,27453.098
1054,65.47
1055,37.076
1056,31.571
1057,1291.3
1058,20113.659
1059,55.513
1060,56162.0
1061,699.623
1062,490.06
1063,104.743
1064,2.862
1065,43.069
1066,34.045
1067,1.962
1068,58.38
1069,0.363
1070,2.583
1071,5.11
1073,92.0
1074,130.624
1075,33.0
1076,25.759
1077,545.075
1078,16.478
1079,19.252
1080,131.89
1081,86.846
1082,67.49
1083,2555.0
1085,64.218
1086,4.459
1087,733.895
1088,55.0
1089,47.542
1090,92.518
1091,0.823
1092,52.496
1093,4608.0
1094,90.0
1095,13.96
1096,27.041
1097,19.085
1098,20.599
1099,68.405
1100,8.291
1101,679.109
1102,1.68
1103,210.443
1104,0.057
1105,324.159
1106,916.961
1107,561.976
1108,667.431
1109,304.502
1110,5.1
1111,1385.911
1112,37.83
1113,13.549
1115,84.388
1116,148.0
1117,20.766
1118,3.698
1119,4.362
1120,161.328
1121,246.8
1122,7.068
1123,4800.929
1125,7067.67
1126,184.968
1127,59.488
1128,8.776
1129,428.0
1130,2173.0
1132,26.471
1133,2967.44
1134,3.504
1135,6.257
1136,63.749
1137,5063.608
1139,2.238
1140,66.83
1141,2002.688
1142,248.416
1143,3.5
1144,4.076
1145,1.224
1146,10.607
1147,488819.762
1148,31.089
1149,14.0
1150,448.0
1151,1.989
1152,13.377
1153,442.111
1154,50.0
1156,12969.0
1157,1702.093
1158,35.4
1159,9.349
1160,239.148
1161,35.0
1162,154.0
1163,4636.6
1164,6.3
1165,2.9
1167,0.275
1168,120.32
1169,5.906
1170,4613.191
1171,1047.95
1172,62.387
1173,5.103
1174,7.581
1175,124.015
1176,14.192
1177,3327.0
1178,0.19
1179,2653.698
1180,204970.8
1181,25.923
1183,48.446
1184,84.8
1185,159.3
1186,11.9
1187,151.261
1188,1080.0
1189,0.362
1190,0.315
1191,27.63
1192,403.202
1194,120.6
1195,0.93
1196,12.346
1197,0.261
1198,9.518
1199,222.0
1200,10816.874
1201,1.4
1202,0.656
1203,48914.0
1204,84.88
1206,2833.794
1207,0.139
1208,3.274
1209,34.78
1210,100.808
1211,13.363
1212,8.355
1213,2.607
1214,514.0
1215,1400.0
1216,7.001
1217,35203.408
1218,155.04
1219,37.076
1220,58.36
1221,2055.5
1222,20871.345
1223,92.513
1224,63192.0
1225,1185.67
1226,1149.7
1227,105.743
1228,2.862
1229,93.344
1230,34.045
1231,3.302
1232,78.65
1233,0.363
1234,2.583
1235,5.11
1237,133.0
1238,159.736
1239,33.0
1240,80.188
1241,893.595
1242,20.605
1243,19.297
1244,155.161
1245,87.509
1246,83.49
1247,4440.208
1249,89.218
1250,5.339
1251,733.903
1252,55.0
1253,88.482
1254,144.958
1255,2.106
1256,50.735
1257,7226.0
1258,116.0
1259,16.36
1260,27.041
1261,27.959
1262,26.152
1263,119.826
1264,8.736
1265,763.313
1266,1.745
1267,221.752
1268,0.057
1269,334.771
1270,982.246
1271,1539.259
1272,901.438
1273,336.131
1274,5.1
1275,1397.796
1276,38.338
1277,13.707
1279,109.388
1280,171.0
1281,23.448
1282,3.698
1283,4.372
1284,275.72
1285,277.877
1286,7.068
1287,4904.991
1289,11143.266
1290,285.438
1291,80.489
1292,8.776
1293,714.0
1294,2498.0
1296,23.644
1297,2987.62
1298,5.474
1299,6.257
1300,80.049
1301,5996.155
1303,2.238
1304,76.96
1305,5935.688
1306,253.81
1307,3.5
1308,4.296
1309,96.424
1310,16.483
1311,591058.562
1312,30.745
1313,16.85
1314,448.0
1316,13.377
1317,764.135
1318,95.0
1320,17344.0
1321,2042.934
1322,38.4
1323,9.756
1324,284.036
1325,50.0
1326,160.0
1327,5574.8
1328,6.55
1329,2.94
1331,0.275
1332,120.32
1333,5.943
1334,7879.157
1335,1097.357
1336,62.387
1337,5.103
1338,7.581
1339,315.036
1340,14.317
1341,3342.0
1342,0.727
1343,3205.438
1344,253963.8
1345,85.513
1347,56.794
1348,108.5
1349,216.974
1350,13.2
1351,229.134
1352,1304.294
1353,0.362
